date,value,cash,holdings,dividends
2023-01-01,100000.0,100000.0,0,0.0
2023-01-08,103508.13219646452,20362.796472587564,39,0.0
2023-01-15,106966.98110023496,14318.189298782328,48,0.0
2023-01-22,106303.86582891463,8384.974849147775,61,0.0
2023-01-29,107662.65804862973,6814.277204513527,64,0.0
2023-02-05,111513.34415227888,5570.828882045724,67,0.0
2023-02-12,107002.98821284292,5146.458671827295,69,0.0
2023-02-19,109711.34812162397,6987.506553630808,65,0.0
2023-02-26,107623.98818166961,7855.08815725555,63,39.850216
2023-03-05,111031.8790063404,10471.70931334724,57,39.850216
2023-03-12,107987.07747508277,8110.791510116956,62,39.850216
2023-03-19,103746.24319239845,10581.785432541272,56,39.850216
2023-03-26,104399.07803484154,16330.827062093736,51,414.17981599999996
2023-04-02,110258.33881596703,26042.474937716903,45,780.032506
2023-04-09,109459.57345543601,21477.48686562278,55,1221.6078459999999
2023-04-16,112961.25166888931,20884.74541087844,56,1221.6078459999999
2023-04-23,112876.26692034461,18161.684555308602,63,1859.207846
2023-04-30,113312.93195587852,20628.387472693707,58,2152.757846
2023-05-07,114457.34317297381,19813.43407720964,61,2383.0816683999997
2023-05-14,114804.95175750177,22372.434072565244,56,2499.9816683999998
2023-05-21,116207.28788054864,22851.67121184747,55,2556.4816683999998
2023-05-28,115319.88781382005,22752.883554710552,55,2570.0816683999997
2023-06-04,115976.00590925614,23210.736054710553,54,2570.0816683999997
2023-06-11,115865.85179291408,21929.160359961203,57,2673.8216684
2023-06-18,117272.35546906154,18805.56683380764,63,2673.8216684
2023-06-25,114086.3167334048,22014.890757605244,56,2673.8216684
2023-07-02,115814.67626183193,27092.461616446188,50,2673.8216684
2023-07-09,113046.19141487758,26765.27706627529,52,2673.8216684
2023-07-16,112549.53308745068,30532.239233690907,49,2673.8216684
2023-07-23,111837.57281584422,31182.607426592513,47,2673.8216684
2023-07-30,113156.45477480571,31307.975313135783,50,2673.8216684
2023-08-06,112017.63054327646,30705.023300692243,51,2673.8216684
2023-08-13,110841.1065775885,31578.579374982313,49,2682.6092774
2023-08-20,108586.80098068377,37641.98614608903,45,2682.6092774
2023-08-27,108483.07723331594,99009.6333704009,3,2682.6092774
2023-09-03,108604.87172794485,99009.6333704009,3,2682.6092774
2023-09-10,108629.1002949586,99517.19003189707,3,2682.6092774
2023-09-17,108691.53373596811,99344.7248828187,3,2682.6092774
2023-09-24,108540.37968903207,96320.48573761605,3,2682.6092774
2023-10-01,108318.87181886338,96418.11883386277,3,2791.8092773999997
2023-10-08,107938.8132985606,96113.2269490733,3,2791.8092773999997
2023-10-15,108208.45090052746,97147.15011927746,3,2791.8092773999997
2023-10-22,107889.75394007824,97147.15011927746,3,2791.8092773999997
2023-10-29,107183.72003504894,97147.15011927746,3,2791.8092773999997
2023-11-05,107396.75901871346,96651.85393791817,3,2899.8092773999997
2023-11-12,107467.47391231202,96638.86658580446,3,2899.8092773999997
2023-11-19,107546.13803371094,96870.87651904725,3,2899.8092773999997
2023-11-26,107500.68266780519,96927.14800174379,3,2899.8092773999997
2023-12-03,109128.2848424926,3176.601220132373,52,2908.8092773999997
2023-12-10,110928.608082315,3257.3616223540525,52,2908.8092773999997
2023-12-17,115170.20786399987,3078.9221469893673,52,2908.8092773999997
2023-12-24,115462.1368656173,23.61034965660383,54,2908.8092773999997
2023-12-31,115988.5226254001,33.85829205660383,54,2919.0572197999995
2024-01-07,112718.26995854525,43.45829205660383,54,2928.6572197999994
2024-01-14,114394.74027020602,388.98460919527577,55,2928.6572197999994
2024-01-21,109901.64426381259,399.48460919527577,55,2939.1572197999994
2024-01-28,112216.45032439739,3903.9293740800067,52,2948.1241693999996
2024-02-04,111996.7193761018,99.88163997203594,58,2979.1241693999996
2024-02-11,112163.62376385242,379.1763017705134,61,2979.1241693999996
2024-02-18,115796.34694134266,5895.4010108617,60,2979.1241693999996
2024-02-25,116472.95526519569,3534.9221965387724,64,2989.3721117999994
2024-03-03,118683.94613120827,3561.2689299372105,66,2989.3721117999994
2024-03-10,118650.32686052832,3241.933208566037,66,2989.3721117999994
2024-03-17,120681.00784774574,3010.3014726236743,68,2989.3721117999994
2024-03-24,123976.87380104414,3536.8564966236745,68,3515.9271357999996
2024-03-31,124990.32876519352,4351.834352771348,69,4315.031364799999
2024-04-07,123613.21494756849,4462.244042264527,69,4348.781364799999
2024-04-14,122359.57104646832,4847.066708203857,69,4772.981364799999
2024-04-21,121034.33515768668,8731.899030977702,67,4785.717593799999
2024-04-28,122436.92274846218,9834.474471942403,65,5055.667593799999
2024-05-05,123818.93168357636,6344.24885276581,70,5629.209218599999
2024-05-12,128167.77189725186,6610.681233341944,70,5880.209218599999
2024-05-19,128796.32516965175,9651.314194767725,70,6053.409218599999
2024-05-26,130222.70024720456,10331.990238583337,70,6080.409218599999
2024-06-02,130053.75712588565,11240.473156006494,70,6094.945447599999
2024-06-09,130215.36200242297,11244.88408379809,70,6094.945447599999
2024-06-16,128298.1186828448,12062.804340346018,70,6094.945447599999
2024-06-23,129372.34473837152,13487.221031553905,69,6094.945447599999
