date,value,cash,holdings,dividends
2023-01-01,100000.0,100000.0,0,0.0
2023-01-08,103508.13304130555,20362.797191543585,39,0.0
2023-01-15,106685.16222263337,18845.19064975739,40,0.0
2023-01-22,106193.2637485695,18816.17635766984,40,0.0
2023-01-29,107438.53711534501,18774.289621601114,40,0.0
2023-02-05,110903.20491903306,18662.45417516709,40,0.0
2023-02-12,106876.96224601747,20105.317855911264,40,0.0
2023-02-19,109215.16180529595,21544.384125852594,40,0.0
2023-02-26,107556.8418315426,21294.11057696496,40,19.875975
2023-03-05,110508.89784993326,23144.15491475259,40,19.875975
2023-03-12,108023.94496821557,20882.232024184814,40,19.875975
2023-03-19,104274.91903636133,22208.741057845706,40,19.875975
2023-03-26,104510.9676472584,43009.21639603769,30,107.255975
2023-04-02,108794.12540530092,43237.82575320131,30,267.473175
2023-04-09,107889.06381697176,28856.466484971028,40,547.9573350000001
2023-04-16,111004.590058465,28771.370328087793,40,547.9573350000001
2023-04-23,111143.12353830814,29391.054354958524,40,1252.257335
2023-04-30,111263.57816077708,29528.660298838608,40,1454.087335
2023-05-07,112840.60997584819,31253.67321589946,40,1689.5373349999998
2023-05-14,113028.49057200908,31365.17321589946,40,1801.0373349999998
2023-05-21,114157.52035800456,31380.36207858562,40,1894.2873349999998
2023-05-28,113013.80401706218,31122.567589755057,40,1909.5873349999997
2023-06-04,113556.75491790294,30809.578823847773,40,1909.5873349999997
2023-06-11,113144.71146209241,30831.288076472287,40,2013.3273349999997
2023-06-18,114172.09378367901,30572.402098956114,40,2013.3273349999997
2023-06-25,111324.8662770033,30180.888413691533,40,2013.3273349999997
2023-07-02,113158.28603866101,31707.110600733766,40,2013.3273349999997
2023-07-09,110296.13800376418,31187.95885032179,40,2013.3273349999997
2023-07-16,109248.54858272077,32654.98290507795,40,2013.3273349999997
2023-07-23,108517.81648118497,32355.05159242155,40,2013.3273349999997
2023-07-30,109600.92824851276,32142.355694878115,40,2013.3273349999997
2023-08-06,108434.91658807994,32826.69643903972,40,2013.3273349999997
2023-08-13,108103.02028171916,47204.89563076396,30,2022.0932749999997
2023-08-20,106127.23686027904,47129.16862297435,30,2022.0932749999997
2023-08-27,105856.7226647796,53073.14019293208,29,2022.0932749999997
2023-09-03,106547.70499491114,51385.995506042425,30,2022.0932749999997
2023-09-10,106404.49637758631,54616.3504730453,30,2022.0932749999997
2023-09-17,106708.9993269672,54889.493725084256,30,2022.0932749999997
2023-09-24,105980.23876351732,54323.42874307055,30,2046.0932749999997
2023-10-01,105427.71452592273,54466.21874307055,30,2188.8832749999997
2023-10-08,104618.2515700378,54317.59157019039,30,2188.8832749999997
2023-10-15,104895.13402840993,58829.98788354298,27,2188.8832749999997
2023-10-22,102331.87913026949,55347.43454446932,30,2216.4832749999996
2023-10-29,101798.69136707923,75713.08152668616,15,2294.4832749999996
2023-11-05,102749.11020115991,66110.65816525598,15,2345.4832749999996
2023-11-12,102712.09747925898,55034.733374034375,20,2345.4832749999996
2023-11-19,104968.16106850764,53233.03362519404,20,2402.4832749999996
2023-11-26,105268.09740286894,39163.71987563199,30,2412.6878541999995
2023-12-03,106003.92020060605,39083.199781676,30,2421.6878541999995
2023-12-10,106683.3124691493,39404.469171190925,30,2421.6878541999995
2023-12-17,109534.68706060952,41856.84629370279,30,2421.6878541999995
2023-12-24,109543.19572125025,23070.110615354253,40,2421.6878541999995
2023-12-31,109804.92462917797,22916.025932278553,40,2431.8924333999994
2024-01-07,106953.40570229046,23204.388972935598,40,2455.2924333999995
2024-01-14,108087.56290586942,40300.724338135646,30,2455.2924333999995
2024-01-21,104976.14734995358,38437.464627861904,30,2464.7924333999995
2024-01-28,106432.78923877231,40595.77367099277,30,2464.7924333999995
2024-02-04,105761.38397696964,45376.19738105289,30,2495.7924333999995
2024-02-11,106566.34024752132,48946.83932436458,30,2495.7924333999995
2024-02-18,108190.53470143786,50712.08608922473,30,2495.7924333999995
2024-02-25,108578.78496819964,49983.60789758197,30,2495.7924333999995
2024-03-03,109774.36367248051,36027.26910994999,40,2495.7924333999995
2024-03-10,109439.05063096515,35772.08934632771,40,2495.7924333999995
2024-03-17,110405.88489190572,35405.475384154255,40,2495.7924333999995
2024-03-24,112813.32714704031,35908.09090665335,40,2889.0424333999995
2024-03-31,112947.21677920039,35875.545152155704,40,3175.4045633999995
2024-04-07,111931.7811685818,35998.367075564216,40,3175.4045633999995
2024-04-14,111155.96240528757,35563.222252928565,40,3288.6045633999993
2024-04-21,110650.17228454875,35444.08047050761,40,3320.789486739999
2024-04-28,111988.65809264468,35874.58470168398,40,3558.789486739999
2024-05-05,112768.77430604264,34954.85077164934,39,3715.989486739999
2024-05-12,115527.09946522996,35042.83500371263,39,3905.1894867399988
2024-05-19,116244.81773484513,31682.383374340985,40,4042.4894867399985
2024-05-26,117591.57383023546,31478.65047513292,40,4042.4894867399985
2024-06-02,117499.09616791643,31530.645924920216,40,4061.4744100799985
2024-06-09,117432.16741433062,31567.328474663867,40,4061.4744100799985
2024-06-16,116136.05247999109,31507.22159887232,40,4061.4744100799985
2024-06-23,117156.12630802073,31615.179193076267,40,4061.4744100799985
2024-06-30,116114.62429564644,31684.380393440017,40,4110.828607679998
2024-07-07,117463.26776391198,31209.739580928584,40,4110.828607679998
2024-07-14,120346.2650496595,31200.800842963952,40,4110.828607679998
2024-07-21,117780.95536441018,30796.622318450707,40,4110.828607679998
2024-07-28,117930.17716053766,39603.37897137444,40,4119.013531019998
2024-08-04,115452.86954251092,39760.711038024834,40,4148.513531019998
2024-08-11,115421.8504308966,40216.638774326166,40,4167.461635019998
2024-08-18,117046.23174444947,40018.28432814393,40,4167.461635019998
2024-08-25,118322.29500014099,39821.70433813843,40,4167.461635019998
