date,action,ticker,price,score,reason
2020-01-01,BUY,EVO.ST,279.0805358886719,125.6,
2020-01-01,BUY,MYCR.ST,84.69154357910156,121.7,
2020-01-01,BUY,CATE.ST,368.85748291015625,118.5,
2020-01-01,BUY,SWEC-B.ST,107.30155944824219,116.6,
2020-01-01,BUY,BRIN-B.ST,31.600000381469727,112.7,
2020-01-01,BUY,IVSO.ST,98.80439758300781,112.7,
2020-01-01,BUY,DORO.ST,45.80232620239258,112.1,
2020-01-01,BUY,ATCO-A.ST,84.61649322509766,111.7,
2020-01-01,BUY,ABB.ST,212.4149627685547,109.7,
2020-01-01,BUY,ATCO-B.ST,73.22295379638672,109.4,
2020-01-01,BUY,BTS-B.ST,212.97352600097656,109.2,
2020-01-01,BUY,EOLU-B.ST,94.96678924560547,107.3,
2020-01-01,BUY,LAGR-B.ST,45.64675521850586,107.3,
2020-01-01,BUY,ALM.ST,297.1072692871094,106.7,
2020-01-01,BUY,SINCH.ST,28.649999618530273,106.6,
2020-01-01,BUY,NOTE.ST,37.818870544433594,106.5,
2020-01-01,BUY,CCC.ST,18.600000381469727,106.3,
2020-01-01,BUY,BEIA-B.ST,138.52044677734375,105.0,
2020-01-01,BUY,SAGA-A.ST,129.9188232421875,103.7,
2020-01-01,BUY,TREL-B.ST,150.82589721679688,102.5,
2020-01-22,SELL,TREL-B.ST,150.06527709960938,,Not in top stocks
2020-01-22,BUY,LIFCO-B.ST,116.55744934082031,108.4,
2020-02-05,SELL,BEIA-B.ST,130.73643493652344,,Not in top stocks
2020-02-05,BUY,ARISE.ST,37.684051513671875,110.0,
2020-02-12,SELL,MYCR.ST,72.6581039428711,,Not in top stocks
2020-02-19,SELL,DORO.ST,38.63720703125,,Not in top stocks
2020-02-19,BUY,WIHL.ST,88.25323486328125,112.4,
2020-02-26,SELL,CATE.ST,315.7812805175781,,Not in top stocks
2020-02-26,SELL,ATCO-B.ST,69.05744171142578,,Not in top stocks
2020-02-26,SELL,LIFCO-B.ST,102.78856658935547,,Not in top stocks
2020-02-26,BUY,NDA-SE.ST,77.88359832763672,104.2,
2020-02-26,BUY,BALCO.ST,99.56365966796875,103.3,
2020-02-26,BUY,NIBE-B.ST,40.584930419921875,101.1,
2020-03-04,SELL,SWEC-B.ST,95.06228637695312,,Not in top stocks
2020-03-04,SELL,ABB.ST,195.52366638183594,,Not in top stocks
2020-03-04,BUY,CAST.ST,173.3477325439453,103.6,
2020-03-11,SELL,BRIN-B.ST,24.100000381469727,,Not in top stocks
2020-03-11,SELL,ATCO-A.ST,69.44168853759766,,Not in top stocks
2020-03-11,SELL,BTS-B.ST,176.28482055664062,,Not in top stocks
2020-03-11,SELL,LAGR-B.ST,37.22829818725586,,Not in top stocks
2020-03-11,SELL,NOTE.ST,29.28685760498047,,Not in top stocks
2020-03-11,SELL,NDA-SE.ST,61.44943618774414,,Not in top stocks
2020-03-11,SELL,CAST.ST,147.2327880859375,,Not in top stocks
2020-03-11,BUY,LUND-B.ST,379.4971618652344,90.8,
